N2H2        0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    54
NO3         0  0  0  0  1  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    55
HC2O        0  1  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    56
HOCO        0  1  0  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    57
HNCO        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    58
HOCN        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    59
HCNO        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    60
HONC        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    61
H2CCN       0  2  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    62
H2CCO       0  2  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    63
C2H3        0  3  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    64
c-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    65
C4H         0  1  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    66
C4N         0  0  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    67
C5          0  0  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    68
HCOOH       0  2  0  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    69
CH2NH       0  3  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    70
CH4         0  4  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    71
HCNCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    72
HCCNC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    73
HC3N        0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    74
HNCCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    75
NH2CN       0  2  0  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    76
l-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    77
CH2OH       0  3  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    78
CH3O        0  3  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    79
HC2N2       0  1  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    80
N2H3        0  3  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    81
HCOCO       0  1  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    82
t-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    83
HC3O        0  1  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    84
NC4N        0  0  0  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    85
CH3CN       0  3  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    86
C2H4        0  4  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    87
CH2CCH      0  3  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    88
C4H2        0  2  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    89
C5H         0  1  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    90
C5N         0  0  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    91
C6          0  0  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    92
CH3OH       0  4  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    93
NH2CHO      0  3  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    94
HC4N        0  1  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    95
CH2NH2      0  4  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    96
CH3CO       0  3  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    97
CH3NH       0  4  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    98
H2C3N       0  2  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    99
N2H4        0  4  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   100
CH2CHO      0  3  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   101
C5O         0  0  0  5  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   102
HCOCHO      0  2  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   103
HCCCHO      0  2  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   104
H2C3O       0  2  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   105
c-C3H2O     0  2  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   106
CH3CCH      0  4  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   107
CH3CHO      0  4  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   108
C2H5        0  5  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   109
CH2CHCN     0  3  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   110
C5H2        0  2  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   111
C6H         0  1  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   112
C7          0  0  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   113
CH3NH2      0  5  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   114
HC5N        0  1  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   115
C3H2CN      0  2  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   116
C4H3        0  3  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   117
CH2CCH2     0  4  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   118
C6N         0  0  0  6  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   119
CH3NCO      0  3  0  2  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   120
NC6N        0  0  0  6  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   121
C4H4        0  4  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   122
C6H2        0  2  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   123
C7H         0  1  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   124
C7N         0  0  0  7  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   125
C8          0  0  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   126
CH3C3N      0  3  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   127
HCOOCH3     0  4  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   128
HC6N        0  1  0  6  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   129
C2H3NH2     0  5  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   130
C2H6        0  6  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   131
C3H5        0  5  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   132
C4H2CN      0  2  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   133
C5H3        0  3  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   134
CH3OCH2     0  5  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   135
C7O         0  0  0  7  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   136
C2H3CHO     0  4  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   137
CH3CHCH2    0  6  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   138
CH3CH2OH    0  6  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   139
C7H2        0  2  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   140
C8H         0  1  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   141
