Formula,InChI
C3H3,"InChI=1S/C3H3/c1-3-2/h1H,2H2"
C3H3+,InChI=1S/C3H3/c1-2-3-1/h1-3H/q+1
C4H2,InChI=1S/C4H2/c1-3-4-2/h1-2H
C4H2+,InChI=1S/C4H2/c1-3-4-2/h1-2H/q+1
C4N2+,InChI=1S/C4N2/c5-3-1-2-4-6/q+1
C5H,InChI=1S/C5H/c1-3-5-4-2/h1H
C5H-,InChI=1S/C5H/c1-3-5-4-2/h1H/q-1
C5H+,InChI=1S/C5H/c1-3-5-4-2/h1H/q+1
C5N,InChI=1S/C5N/c1-2-3-4-5-6
C5N+,InChI=1S/C5N/c1-2-3-4-5-6/q+1
C5O,InChI=1S/C5O/c1-2-3-4-5-6
C5S,InChI=1S/C5S/c1-2-3-4-5-6
C6,InChI=1S/C6/c1-3-5-6-4-2
C6-,InChI=1S/C6/c1-3-5-6-4-2/q-1
C6+,InChI=1S/C6/c1-3-5-6-4-2/q+1
CH2NH2,InChI=1S/CH4N/c1-2/h1-2H2
CH3CO,InChI=1S/C2H3O/c1-2-3/h1H3
CH3CS+,InChI=1S/C2H3S/c1-2-3/h1H3/q+1
CH3NH,"InChI=1S/CH4N/c1-2/h2H,1H3"
CH3O2+,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p+1"
CH3SH,"InChI=1S/CH4S/c1-2/h2H,1H3"
CH4N+,InChI=1S/CH4N/c1-2/h1-2H2/q+1
CH4O,"InChI=1S/CH4O/c1-2/h2H,1H3"
CH4O+,"InChI=1S/CH4O/c1-2/h2H,1H3/q+1"
CH5+,InChI=1S/CH5/h1H5/q+1
C2H3NO,InChI=1S/C2H3NO/c1-3-2-4/h1H3
C2H3NO+,InChI=1S/C2H3NO/c1-3-2-4/h1H3/q+1
C2H4N+,"InChI=1S/C2H4N/c1-2-3/h3H,1H3/q+1"
C2H4O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
C2H4O+,"InChI=1S/C2H4O/c1-2-3/h2H,1H3/q+1"
C2H5,"InChI=1S/C2H5/c1-2/h1H2,2H3"
C2H5+,InChI=1S/C2H5/c1-2-3-1/h1-2H2/q+1
C3H2CN,InChI=1S/C4H2N/c1-2-3-4-5/h1H2
C3H3N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2"
C3H3N+,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2/q+1"
C3H4,InChI=1S/C3H4/c1-3-2/h1-2H2
C3H4+,InChI=1S/C3H4/c1-3-2/h1-2H2/q+1
C4H3,InChI=1S/C4H3/c1-3-4-2/h1-3H
C4H3+,"InChI=1S/C4H3/c1-3-4-2/h1H,2H2/q+1"
C4N2H+,InChI=1S/C4N2/c5-3-1-2-4-6/p+1
C5H2,InChI=1S/C5H2/c1-3-5-4-2/h1H2
C5H2+,InChI=1S/C5H2/c1-3-5-4-2/h1H2/q+1
C5HN+,InChI=1S/C5HN/c1-2-3-4-5-6/h1H/q+1
C6H,InChI=1S/C6H/c1-3-5-6-4-2/h1H
C6H-,InChI=1S/C6H/c1-3-5-6-4-2/h1H/q-1
C6H+,InChI=1S/C6H/c1-3-5-6-4-2/h1H/q+1
C6N,InChI=1S/C6N/c1-2-3-4-5-6-7
C6N+,InChI=1S/C6N/c1-2-3-4-5-6-7/q+1
C7,InChI=1S/C7/c1-3-5-7-6-4-2
C7-,InChI=1S/C7/c1-3-5-7-6-4-2/q-1
C7+,InChI=1S/C7/c1-3-5-7-6-4-2/q+1
CH3CHS,"InChI=1S/C2H4S/c1-2-3/h2H,1H3"
CH3SH2+,"InChI=1S/CH4S/c1-2/h2H,1H3/p+1"
CH5N,"InChI=1S/CH5N/c1-2/h2H2,1H3"
CH5N+,"InChI=1S/CH5N/c1-2/h2H2,1H3/q+1"
